sq_mt_built,sq_mt_built_imputed_flag,n_rooms,n_bathrooms,n_bathrooms_imputed_flag,n_floors,n_floors_imputed_flag,street_name,floor,floor_imputed_flag,is_floor_under,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,is_new_development_imputed_flag,built_year,built_year_imputed_flag,has_ac,has_fitted_wardrobes,has_lift,has_lift_imputed_flag,is_exterior,is_exterior_imputed_flag,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,house_type_cat,house_type_name,neighborhood_code,neighborhood_name,neighborhood_price_sqm,district_code,district_name,heating_type
232.0,0,6,3.0,0,0.0,1,Cuzco-Castillejos,2,0,False,1075000,4634,False,False,0,1976.0,0,True,True,True,0,True,0,,,,,True,,,en trámite,True,True,0.0,False,False,True,False,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
40.0,0,0,1.0,0,0.0,1,Cuatro Caminos,1,0,False,185000,4625,False,False,0,1994.0,0,True,True,True,0,True,0,,True,,,,,,E,True,False,25000.0,False,False,True,False,0,Estudio,113,Cuatro Caminos,4247.49,17,Tetuán,individual
71.0,0,3,1.0,0,0.0,1,Calle de la Infanta Mercedes,4,0,False,340000,4789,False,False,0,1960.0,1,False,True,True,0,True,0,,,,,,,,no indicado,False,,,,,,,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,individual
45.0,0,2,1.0,0,0.0,1,Calle de Villaamil,Bajo,0,True,114000,2533,False,False,0,1965.0,0,False,False,True,0,False,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
95.0,0,2,2.0,0,0.0,1,Calle Alcolea,1,0,False,480000,5053,False,False,0,2018.0,0,True,True,True,0,True,0,,,,True,True,,,B,True,True,0.0,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
50.0,0,1,1.0,0,0.0,1,Ventilla-Almenara,1,0,False,260500,5210,False,False,0,1981.0,1,True,True,True,0,True,0,,,True,,True,True,,en trámite,True,True,0.0,False,False,True,True,5,Áticos,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
45.0,0,0,1.0,0,0.0,1,Ventilla-Almenara,Bajo,0,True,168800,3751,False,False,0,2019.0,0,True,True,True,0,True,0,,,,,True,True,,en trámite,False,,,,,,,0,Estudio,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
63.0,0,2,1.0,0,0.0,1,Cuatro Caminos,6,0,False,390000,6190,True,False,0,1960.0,1,False,False,True,0,True,0,,,True,,,,True,en trámite,True,True,0.0,False,False,False,True,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,central
72.0,0,3,2.0,0,0.0,1,Calle Asunción Castell,Entreplanta exterior,0,True,345000,4792,False,False,0,1960.0,1,True,False,False,0,True,0,,,True,,,,,en trámite,False,,,False,True,False,False,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,individual
70.0,0,2,1.0,0,0.0,1,Calle de las Margaritas,1,0,False,299000,4271,False,False,0,2010.0,0,True,True,True,0,True,0,,,,,,,True,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
76.0,0,3,1.0,0,0.0,1,Paseo de la Dirección,3,0,False,165000,2171,True,False,0,1965.0,0,False,True,False,0,True,0,,,True,,,,,G,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
95.0,0,3,2.0,0,0.0,1,Berruguete,1,0,False,283000,2979,False,False,0,1960.0,1,False,False,True,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,unknown
60.0,0,3,2.0,0,0.0,1,Calle de San Raimundo,1,0,False,210000,3500,False,False,0,1925.0,1,True,True,False,0,False,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
150.0,0,4,2.0,0,0.0,1,Calle Orense,1,0,False,510000,3400,True,False,0,1960.0,1,False,True,True,0,True,0,,,,,,,,en trámite,False,,,False,False,False,True,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,central
50.0,0,2,1.0,0,0.0,1,Valdeacederas,1,0,False,178000,3560,False,False,0,2020.0,1,False,False,False,0,True,0,,,True,,,,,en trámite,False,,,False,False,True,True,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,individual
45.0,0,2,1.0,0,0.0,1,Ventilla-Almenara,1,0,False,155000,3444,False,False,0,1981.0,1,False,False,False,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,unknown
60.0,0,2,1.0,0,0.0,1,Calle de Almansa,1,0,False,220000,3667,False,False,0,1925.0,1,True,True,False,0,True,0,,,,True,,,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
70.0,0,4,1.0,0,0.0,1,castillejos,1,0,False,175000,2500,True,False,0,1925.0,1,False,False,True,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
54.0,0,1,1.0,0,0.0,1,Calle de Molina,1,0,False,228000,4222,False,False,0,2005.0,0,False,True,True,0,True,0,,,,,True,,,G,False,,,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
